SECTOR;CANTIDAD;FOB_TOTAL;FLETE_TOTAL;CIF_TOTAL
1;1;289;2.73;291.99
1;19;3306;31.26;3340.26
1;7;861;8.14;869.92
1;2;518;4.89;523.36
1;3;675;6.38;681.99
1;8;1480;14.82;1496.16
1;20;3260;32.64;3295.6
1;5;730;7.31;737.97
1;3;1446;14.48;1461.79
1;2;704.24;7.05;711.93
1;2;668;6.69;675.29
1;30;6150;61.59;6217.18
1;5;1195;11.96;1208.04
1;12;3240;32.44;3275.38
1;15;1522.2;15.24;1538.82
1;1;345.08;3.45;348.84
1;28;3808;38.13;3849.59
1;24;4176;41.82;4221.61
1;37;7585;75.96;7667.85
1;9;2151;21.54;2174.49
1;36;9720;97.34;9826.17
1;12;4080;40.86;4124.56
1;8;1200;12.01;1213.1
1;40;6440;64.49;6510.34
1;16;2960;29.64;2992.33
1;12;2592;25.95;2620.3
1;14;5600;56.08;5661.17
1;7;3465;34.7;3502.85
1;1;1538;15.4;1554.79
1;19;3325;33.3;3361.32
1;3;762;7.63;770.32
1;35;3710;37.15;3750.52
1;11;1089;10.9;1100.89
1;12;5104.79;96.21;5205.68
1;6;4059.64;76.51;4139.87
1;264;8494.72;160.11;8662.61
1;258;2234.26;42.11;2278.41
1;12;4594.8;86.6;4685.61
1;54;1628.35;30.69;1660.53
1;43;4234.78;79.82;4318.48
1;340;5507.53;103.8;5616.38
1;130;11105.67;209.32;11325.17
1;80;2009.94;38.69;2050.47
1;30;1416.77;27.27;1445.34
1;3;60.32;1.16;61.53
1;20;7656.61;147.41;7811.04
1;10;1577.62;30.37;1609.43
1;235;20071.97;386.45;20476.83
1;648;5610.63;108.02;5723.79
1;1,732.00;19850.61;382.18;20250.99
1;26;3866.56;74.44;3944.54
1;49;18758.69;361.16;19137.05
1;33;3249.35;62.56;3314.89
1;1;1762.46;34.8;1822.26
1;1;0.5;0.05;0.55
1;181;26922.13;507.44;27454.25
1;66;10414.24;196.29;10620.08
1;1;2069.69;76.97;2149.34
1;10;908.12;9.5;918.44
1;10;735.16;7.69;743.51
1;10;908.12;9.5;918.44
1;2;1128.71;11.81;1141.54
1;10;670.29;7.01;677.91
1;16;1727.66;18.08;1747.31
1;10;1363.64;14.27;1379.15
1;76;13259.47;138.77;13410.29
1;16;4331.58;45.33;4380.84
1;2;411.1;4.3;415.77
1;22;5272.1;55.18;5332.07
1;12;1804.82;18.89;1825.35
1;6;968.59;10.13;979.6
1;10;2777.42;29.07;2809.01
1;168;26504.13;510.28;27038.72
1;2;4.04;0.47;4.51
1;2;0.6;0.07;0.67
1;28;11479.35;221.01;11710.88
1;1;2;0.17;2.17
1;10;11078.34;208.46;11311.8
1;240;16632;2420.79;19069.93
1;130;10093.2;1469.06;11572.66
1;100;9770;1422.02;11202.09
1;10;1523;221.67;1746.24
1;50;10430;1518.09;11958.84
1;30;7044;1025.25;8076.51
1;1;831.08;175;1031.08
1;1;1796.94;226.82;2027.2
1;1;1722.71;217.45;1943.46
1;1;1796.94;226.82;2027.2
1;1;3000.85;378.79;3385.39
1;1;1722.71;217.45;1943.46
1;1;3000.85;378.79;3385.39
1;144;10797.12;3153.95;13963.63
1;504;42351.12;12371.21;54771.63
1;288;30430.08;8888.95;39354.45
1;10;1647.3;481.19;2130.4
1;30;6770.4;1977.7;8755.98
1;80;20317.6;5934.99;26276.24
1;80;28400;8397.01;36828.38
1;10;3800;1573.79;5377.98
3;1;5927.7;281.09;6214.44
3;1;11947.45;566.54;12525.39
3;1;19029.03;902.35;19949.54
3;1;6877.66;319.58;7210.12
3;1;6465.04;300.41;6777.56
1;1;2238.76;89.48;2331.15
1;1;3018.09;120.64;3142.66
1;1;2470.66;98.75;2572.63
1;1;1363.55;54.5;1419.82
2;1;22.29;0.89;23.2
2;1;22.29;0.89;23.2
2;1;32.33;1.29;33.66
2;1;32.33;1.29;33.66
2;1;32.33;1.29;33.66
2;1;32.33;1.29;33.66
1;1;74.7;2.98;77.77
1;1;74.7;2.98;77.77
1;1;74.7;2.98;77.77
1;1;74.7;2.98;77.77
2;1;32.33;1.29;33.66
2;1;32.33;1.29;33.66
1;1;82.5;3.29;85.89
1;1;82.5;3.29;85.89
2;1;23.41;0.93;24.37
2;1;23.41;0.93;24.37
2;1;23.41;0.93;24.37
2;1;23.41;0.93;24.37
1;1;1085.93;43.4;1130.74
1;1;1085.93;43.4;1130.74
1;1;1085.93;43.4;1130.74
1;1;1085.93;43.4;1130.74
1;1;1085.93;43.4;1130.74
1;1;1085.93;43.4;1130.74
1;1;1085.93;43.4;1130.74
1;1;1085.93;43.4;1130.74
1;6;6578.31;520.65;7105.33
1;1;1626.8;128.75;1757.12
1;2;6355.29;503;6864.44
1;2;6498.43;514.32;7019.04
1;1;2464.23;195.03;2661.64
1;1;3177.64;232.7;3413.41
1;2;6081.32;445.35;6532.56
1;3;9747.64;713.84;10470.92
1;1;723.63;52.99;777.32
1;2;1550.02;113.51;1665.03
1;1;209.84;6.75;218.41
1;1;298.01;9.58;310.18
1;1;209.84;6.75;218.41
1;1;209.84;6.75;218.41
1;1;209.84;6.75;218.41
1;1;254.17;8.17;264.55
1;1;254.17;8.17;264.55
1;1;439.74;49.62;489.9
1;1;439.74;49.62;489.9
1;1;439.74;49.62;489.9
1;1;439.74;49.62;489.9
1;1;439.74;49.62;489.9
1;1;439.74;49.62;489.9
1;1;439.74;49.62;489.9
1;1;223.98;25.27;249.53
1;1;248.64;28.05;277
1;1;238.36;26.89;265.54
1;1;232.2;26.2;258.69
1;1;227.06;25.62;252.96
1;1;229.12;25.85;255.25
1;1;82.19;9.27;91.56
1;1;82.19;9.27;91.56
1;1;82.19;9.27;91.56
1;1;82.19;9.27;91.56
1;1;252.75;28.52;281.58
1;1;1735.35;195.82;1933.33
1;1;1735.35;195.82;1933.33
1;1;1263.75;142.6;1407.92
1;1;1263.75;142.6;1407.92
1;1;1104.5;124.63;1230.5
1;1;1104.5;124.63;1230.5
1;1;957.57;108.05;1066.81
1;1;954.49;107.7;1063.38
1;1;616.46;69.56;686.79
1;1;2187.43;246.83;2436.99
1;1;242.47;27.36;270.13
1;1;328.78;37.1;366.29
1;1;446.93;50.43;497.91
1;1;250.69;28.28;279.28
1;1;318.5;35.94;354.83
1;1;229.12;25.85;255.25
1;1;229.12;25.85;255.25
2;5;1749.17;73.57;1825.03
2;4;576.62;24.25;601.62
2;4;312.18;13.13;325.71
2;2;639.04;26.87;666.74
2;9;809.74;34.05;844.85
2;4;374.63;15.75;390.87
1;9;5219.96;300.48;5527.27
1;2;332.86;19.16;352.45
1;4;787.39;45.32;833.74
1;1;166.43;9.58;176.23
1;1;2976.84;53.95;3039.96
1;1;2976.84;53.95;3039.96
1;1;2976.84;53.95;3039.96
1;1;2976.84;53.95;3039.96
1;1;2117.33;89.66;2213.51
1;1;2117.33;89.66;2213.51
1;1;2117.33;89.66;2213.51
1;1;2117.33;89.66;2213.51
1;1;2117.33;89.66;2213.51
1;1;2117.33;89.66;2213.52
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;660.25;94.63;755.82
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.71;812.33
1;1;709.61;101.72;812.35
1;2;5447.7;485.84;5940.95
1;2;5572.59;496.98;6077.15
1;2;6837.78;609.81;7456.9
1;1;2723.85;242.92;2970.47
1;1;2786.29;248.49;3038.57
1;4;11145.18;993.96;12154.31
1;2;5572.59;496.98;6077.15
1;54;46069.55;1863.83;48059.67
1;1;2002.26;188.02;2193.02
1;1;2772.21;260.32;3036.33
1;2;5544.42;520.64;6072.66
1;1;3384.3;317.8;3706.74
1;2;6768.59;635.6;7413.47
1;1;3490.21;327.74;3822.73
1;1;3384.3;317.8;3706.74
1;3;8130.26;763.46;8904.87
1;3;7769.73;729.61;8509.99
1;2;5420.17;508.97;5936.57
1;1;2589.91;243.2;2836.66
1;1;3384.3;317.8;3706.74
1;1;3384.3;317.8;3706.74
1;1;3490.21;327.74;3822.73
1;2;4128.78;387.71;4522.15
1;2;4128.78;387.71;4522.15
1;1;2772.21;260.32;3036.33
1;1;2710.08;254.49;2968.28
1;1;2589.91;243.2;2836.66
1;2;2087.94;105.62;2218.56
1;1;4751.19;725.57;5483.6
1;1;4751.19;725.57;5483.6
1;3;14558.42;2223.27;16802.67
1;1;4751.19;725.57;5483.6
1;3;4146.42;1864.97;6036.39
1;16;29869.6;1284.95;31182.83
1;1;347.14;121.26;476.55
1;1;348.4;121.7;478.28
1;1;368.45;134.04;511.14
1;18;15306.66;914.27;16241.2
1;4;3401.48;203.17;3609.15
1;1;4320.25;467.85;4792.95
1;1;4320.25;467.85;4792.95
1;1;4412.65;477.85;4895.45
1;2;7132.45;772.38;7912.84
1;1;1451.76;157.21;1610.6
1;16;29869.6;2054.16;31963.61
1;16;29869.6;2054.15;31963.6
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;1104.52;16.08;1122.1
1;1;209.61;3.05;212.94
1;1;209.61;3.05;212.94
1;1;209.61;3.05;212.94
1;1;193.49;2.81;196.56
1;1;193.49;2.81;196.56
1;1;193.49;2.81;196.56
1;1;193.49;2.81;196.56
1;1;193.49;2.81;196.56
1;1;193.49;2.81;196.54
1;11;2787.3;18.56;2823.04
1;5;1266.95;8.43;1283.19
1;1;251;292;545.51
3;1;3335.57;140.05;3485.43
3;1;2146.49;90.12;2242.92
3;1;2279.43;95.7;2381.83
1;1;1450.75;698;2151.87
1;1;1450.75;698;2151.87
1;1;1450.75;698;2151.87
1;1;1450.75;698;2151.87
1;1;1450.75;698;2151.87
1;1;1450.75;698;2151.87
1;1;1450.75;699.12;2152.99
1;1;1450.75;699.12;2152.99
1;1;1215.05;35.35;1251.96
1;1;1215.05;35.35;1251.96
1;1;251.76;7.32;259.4
1;1;251.76;7.32;259.4
1;1;251.76;7.32;259.4
1;1;251.76;7.32;259.4
1;1;251.76;7.32;259.4
1;1;1215.05;35.35;1251.96
1;1;1215.05;35.35;1251.96
1;1;1215.05;35.35;1251.96
1;1;1215.05;35.35;1251.96
1;1;239.72;6.97;246.99
1;1;630.51;18.34;649.66
1;1;297.74;8.66;306.78
1;1;215.64;6.27;222.18
1;1;215.64;6.27;222.18
1;1;215.64;6.27;222.18
1;1;215.64;6.27;222.18
1;1;215.64;6.27;222.18
